REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;LATITUD;LONGITUD;FECHA_DE_CORTE
Cajamarca;Cajamarca;LOS BAÑOS DEL INCA;6289;Bosque De Piedras La Shacsha;1. SITIOS NATURALES;a. Montañas;Bosque de Piedra;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6289;;;20230102
Cajamarca;San Ignacio;SAN IGNACIO;6290;Finca Parcela Reyna Del Bosque;4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS;Explotaciones Industriales;Otros;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6290;;;20230102
Cajamarca;San Ignacio;SAN IGNACIO;6291;Finca Parcela Los Pinos;4. REALIZACIONES TÉCNICAS, CIENTÍFICAS Y ARTÍSTICAS CONTEMPORÁNEAS;Explotaciones Industriales;Otros;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6291;;;20230102
Lima;Yauyos;HUANCAYA;6292;Pueblo De Huancaya;2. MANIFESTACIONES CULTURALES;Pueblos;Tradicionales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6292;-75.79934100000003;-12.203394945605435;20230102
Cajamarca;Jaen;JAÉN;6293;Catarata Chorro Blanco - Jaen;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6293;;;20230102
Cajamarca;Cajamarca;CAJAMARCA;6294;Iglesia Parroquial San Jose;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Iglesias;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6294;-78.52049199999999;-7.152893;20230102
Cajamarca;Jaen;JAÉN;6296;Bosque De Neblina El Romerillo;1. SITIOS NATURALES;Zonas paisajísticas;Bosques;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6296;;;20230102
Cajamarca;Cajamarca;SAN JUAN;6298;Casa Hacienda Huacraruco;2. MANIFESTACIONES CULTURALES;Arquitectura y Espacios Urbanos;Casa-Hacienda;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6298;-78.43840499999999;-7.305871;20230102
Cajamarca;Contumaza;CUPISNIQUE;10769;Sopa Teologa;3. FOLCLORE;Gastronomía;Platos Típicos;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10769;;;20230102
Cajamarca;Jaen;SANTA ROSA;6301;Gruta Del Amor;1. SITIOS NATURALES;Cavidades naturales;Grutas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6301;-78.59227699999997;-5.334304;20230102
